S.No,Order Number,DSN,Serial Number,VIN,CIW Serial No,Variant,Description,Model,Work Content,Region,Status,Skip/hold reason,Outlook,Line in sequence,Production Date,Line in time,Release sequence,Vehicle Order State,Hold Status,Engine status,Transmission status,A4003220479,Axle status,Frame status,Country,CIW Start Time,Vehicle Start Time,Frame Load Time,Engine Order No,Engine Part No,Engine Description,Engine Order State,Engine Start Time,Transmission Order No,Transmission Part No,Transmission Description,Transmission Order State,Transmission Start Time,Frame Order No,Frame Part No,Frame Description,Frame Order State,Frame Start Time,CIW Order,CIW Part,CIW Desc,Paint Order,Paint Part,Paint Desc,Podest Order,Podest Part,Podest Desc,Podest State,Podest Start Time,BB Order Number,BB Part Number,SFC Order Number,SFC Part Number
621,1200310975,,,,,V83139721M0820000,1624 CHS 5950 BS6.1 TR295/80 IN1 AS RET,1624 ,HWC,Domestic,TENTATIVE ORDER,,,59.0,2026-05-11,5:35 PM,12.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51320143.0,E40095800060001,Engine1623R180KW OBD2 SAE-2 BS6 Bus 2ALT,,,600135403,T40072400010001,G85 1624R BUS SAE2 IGR IMP Brg 3 pin N S,,,,,,,,54233524.0,BUS,BUS,51319651.0,BUS,BUS,1010137467.0,C83184200380001,DRIVER PLATFORM OF 16T BUS 5950WB OF RF,RECEIVED,,,,,
622,1200310849,,,,,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,TENTATIVE ORDER,,,60.0,2026-05-11,5:45 PM,13.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319586.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,RECEIVED,,600135085,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233491.0,C40087910013001C00,THUNDERBOLT-DAY,51319585.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
623,1200310214,,,,,V400854231N0F5103,3532C 8X4 5175 E6.1DYC23BXHD RG RTHDP YW,3532C,HWC,Domestic,TENTATIVE ORDER,,,61.0,2026-05-11,5:55 PM,14.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51317201.0,E92695601510001,Engine 320HP BS6 SAE -1,RECEIVED,,600133784,T40072800010001,G131 HD 3532C SAE1 SPTO RSI 180 Flange,RECEIVED,,,,,,,54232143.0,C40087910013001C00,THUNDERBOLT-DAY,51317200.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
624,1010138043,,,,,V400812220T270102,2826R 6X2 5175E6.1 SLCCHS RTHDP HCGHGPAW,2826R,LWC,Domestic,TENTATIVE ORDER,,,62.0,2026-05-11,6:05 PM,15.0,RECEIVED,,Rapid Prime,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,,,,,,600135164,T40071800150001,G85 SAE2 NGR SP CUMMINS IMP BRG NPTO,RECEIVED,,,,,,,54233570.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319730.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
625,1200310190,,,,,V400854231N0FA103,3532C 8X4 5175 E6.1 DYC 23BXHY RGRTHDPYW,3532C,HWC,Domestic,TENTATIVE ORDER,,,63.0,2026-05-11,6:15 PM,16.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51316621.0,E92695601510001,Engine 320HP BS6 SAE -1,RECEIVED,,600133506,T40072800010001,G131 HD 3532C SAE1 SPTO RSI 180 Flange,RECEIVED,,,,,,,54231824.0,C40087910013001C00,THUNDERBOLT-DAY,51316620.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
626,1010138149,,,,,V400871220Y000102,4023T HT 4X2 3300 E6.1 SLC CHS RT HDPAW,4023T,LWC,Domestic,TENTATIVE ORDER,,,64.0,2026-05-11,6:25 PM,17.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319889.0,E92695601620001,Engine 180KW OBD2 BS6 SAE-2 BUP TT,RECEIVED,,600135229,T40072000740001,G131 4228RMC SAE2 180 flange RSI,RECEIVED,,,,,,,54233676.0,C40087900012001C00,THUNDERBOLT-SLEEPER,51319888.0,C40087900012001P02,HDT THUNDERBOLT SLEEPER (ARTIC WHITE) ,,,,,,,,,
627,1010138075,,,,,V400905220U5T0102,4832R 10X26975E6.1SLCCHSRTHDPHCG28FTBLAW,4832R,HWC,Domestic,TENTATIVE ORDER,,,65.0,2026-05-11,6:42 PM,18.0,RECEIVED,,Rapid Prime,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,,,,,,600135134,T40072300110001,G131 3528C SAE1 Cummins NPTO 180 Flg,RECEIVED,,,,,,,54233540.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319679.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
628,1200310850,,,,,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,TENTATIVE ORDER,,,66.0,2026-05-11,6:52 PM,19.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319584.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,RECEIVED,,600135084,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233490.0,C40087910013001C00,THUNDERBOLT-DAY,51319583.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
629,1200310215,,,,,V400854231N0F5103,3532C 8X4 5175 E6.1DYC23BXHD RG RTHDP YW,3532C,HWC,Domestic,TENTATIVE ORDER,,,67.0,2026-05-11,7:02 PM,20.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51317199.0,E92695601510001,Engine 320HP BS6 SAE -1,RECEIVED,,600133783,T40072800010001,G131 HD 3532C SAE1 SPTO RSI 180 Flange,RECEIVED,,,,,,,54232142.0,C40087910013001C00,THUNDERBOLT-DAY,51317198.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
630,1010138093,,,,,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,TENTATIVE ORDER,,,68.0,2026-05-11,7:12 PM,21.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319650.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,RECEIVED,,600135117,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,RECEIVED,,,,,,,54233523.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319649.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
